20251208 122600;25789.25;25792;25786.25;25789.75;731
20251208 122700;25789.25;25789.25;25783;25786.5;463
20251208 122800;25786.5;25789.25;25785.5;25786.5;216
20251208 122900;25786.5;25787.75;25783.75;25787.25;334
20251208 123000;25787.25;25788.5;25785.25;25785.5;108
20251208 123100;25785.5;25786.25;25783.25;25785.75;373
20251208 123200;25785.75;25787;25783.25;25783.75;239
20251208 123300;25784;25786.5;25783;25785;207
20251208 123400;25785.25;25788;25785;25787.75;200
20251208 123500;25787.75;25792.25;25786.75;25789.75;401
20251208 123600;25790;25792.75;25788.5;25789.25;216
20251208 123700;25789.25;25790;25784.75;25789;310
20251208 123800;25789;25790.75;25787;25790.75;221
20251208 123900;25790.75;25792.5;25789.25;25792.25;174
20251208 124000;25792.5;25793.25;25790.75;25791.75;191
20251208 124100;25791.75;25792.25;25788.5;25789.75;325
20251208 124200;25790;25793.25;25789;25792.25;196
20251208 124300;25792.75;25802;25792.25;25801;958
20251208 124400;25801;25801.75;25797.5;25800.5;605
20251208 124500;25800.75;25801.25;25798;25800.5;286
20251208 124600;25800.5;25804;25798;25802.25;467
20251208 124700;25802.25;25803.25;25801.25;25803;178
20251208 124800;25803;25806.25;25801.25;25805.5;550
20251208 124900;25805.5;25808.75;25804.75;25808.5;450
20251208 125000;25808.5;25811;25807.5;25810.5;420
20251208 125100;25811;25811.5;25807.5;25808;531
20251208 125200;25807.5;25809.25;25803;25803.75;419
20251208 125300;25804.25;25806.75;25802.5;25805.5;461
20251208 125400;25805.25;25807.5;25803.5;25804.5;251
20251208 125500;25803.75;25806;25802;25804.5;244
20251208 125600;25804.25;25806.25;25803;25804.5;274
20251208 125700;25804.5;25805;25801;25803.25;279
20251208 125800;25803;25803.75;25799;25800.75;489
20251208 125900;25800.75;25802;25796.75;25800.75;456
20251208 130000;25801;25804.75;25800.25;25803.5;402
20251208 130100;25803.25;25807;25799.5;25799.5;888
20251208 130200;25799.75;25806.75;25798.75;25803.75;454
20251208 130300;25803.75;25804.75;25800.75;25802.25;250
20251208 130400;25802.25;25806.75;25800.75;25805.75;225
20251208 130500;25805.75;25807.25;25803.25;25807;202
20251208 130600;25806.75;25809.25;25805.5;25805.5;322
20251208 130700;25805.75;25808.75;25805;25808;221
20251208 130800;25807.25;25808;25804;25806.25;193
20251208 130900;25806;25808;25804.25;25806.75;221
20251208 131000;25806.5;25809.25;25805.25;25808.5;258
20251208 131100;25808.5;25810;25804.25;25804.25;342
20251208 131200;25804;25807.25;25803.5;25806.5;159
20251208 131300;25806.25;25809;25805.25;25808.5;209
20251208 131400;25808.75;25815;25808.5;25814.25;663
20251208 131500;25814.5;25814.75;25811.25;25812.75;368
20251208 131600;25813;25814.5;25810;25813.5;349
20251208 131700;25813.75;25817.5;25811.75;25813;481
20251208 131800;25813;25814.5;25811.75;25814;376
20251208 131900;25813.25;25818.25;25813.25;25816;503
20251208 132000;25816.25;25818.5;25815.75;25816.5;267
20251208 132100;25816.5;25830.75;25815.25;25828.75;2284
20251208 132200;25829;25833;25827.25;25827.75;1678
20251208 132300;25827.75;25828;25810.5;25811.75;1830
20251208 132400;25811.75;25816.25;25810.5;25814.5;991
20251208 132500;25814.5;25815.25;25798;25804.5;1726
20251208 132600;25804.5;25811;25802.5;25805;962
20251208 132700;25805;25809.75;25802.5;25806.5;508
20251208 132800;25806.25;25807;25800.5;25803.25;501
20251208 132900;25803.25;25804.25;25799.75;25804.25;380
20251208 133000;25804.5;25809;25803.75;25808.5;442
20251208 133100;25808.75;25810.75;25794.5;25795.25;1443
20251208 133200;25794.75;25796.5;25786.5;25789.25;1525
20251208 133300;25789.75;25792.25;25784.75;25790.75;1249
20251208 133400;25790.75;25794;25790;25791.5;637
20251208 133500;25791.25;25792.75;25789;25790.25;401
20251208 133600;25790.75;25794.25;25787;25791.5;606
20251208 133700;25792.5;25795.75;25792;25794;394
